Base_Location,TOC,Criticality,Location,Location_Type,Natural_Frequency,Data_Type,Option_1,Option_2,Option_3,Option_4,Option_5,min_value,max_value,Date,value
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Secondary,x,x,0.0,9.0,2006-01-07,5.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Primary,x,x,3.0,62.0,2006-01-07,6.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Secondary,x,x,0.0,18.0,2006-01-07,2.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Primary,x,x,4.0,53.0,2006-01-07,8.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Secondary,x,x,0.0,20.0,2006-01-07,3.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Primary,x,x,0.0,17.0,2006-01-07,6.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Secondary,x,x,0.0,10.0,2006-01-07,0.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Primary,x,x,0.0,14.0,2006-01-07,7.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Secondary,x,x,0.0,6.0,2006-01-07,0.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Track,Planned,Primary,x,x,14.0,258.0,2006-01-07,258.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Track,Planned,Secondary,x,x,4.0,54.0,2006-01-07,52.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Primary,x,x,38.0,224.0,2006-01-07,83.0
National,x,x,National,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Secondary,x,x,7.0,104.0,2006-01-07,21.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Primary,x,x,0.0,5.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Secondary,x,x,0.0,2.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Primary,x,x,0.0,2.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Secondary,x,x,0.0,6.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Primary,x,x,0.0,1.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Secondary,x,x,0.0,1.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Primary,x,x,0.0,5.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Secondary,x,x,0.0,4.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Primary,x,x,0.0,8.0,2006-01-07,2.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Secondary,x,x,0.0,3.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Primary,x,x,0.0,4.0,2006-01-07,2.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Secondary,x,x,0.0,11.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Primary,x,x,0.0,4.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Secondary,x,x,0.0,4.0,2006-01-07,0.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Track,Planned,Primary,x,x,0.0,16.0,2006-01-07,16.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Track,Planned,Secondary,x,x,0.0,17.0,2006-01-07,9.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Primary,x,x,0.0,11.0,2006-01-07,8.0
Scotland,x,x,Scotland,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Secondary,x,x,0.0,19.0,2006-01-07,5.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Primary,x,x,0.0,2.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Secondary,x,x,0.0,2.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Primary,x,x,0.0,4.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Secondary,x,x,0.0,4.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Primary,x,x,0.0,1.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Secondary,x,x,0.0,1.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Primary,x,x,0.0,6.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Secondary,x,x,0.0,2.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Primary,x,x,0.0,5.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Safety,Unplanned,Secondary,x,x,0.0,1.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Primary,x,x,0.0,2.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Structures,Planned,Secondary,x,x,0.0,1.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Primary,x,x,0.0,4.0,2006-01-07,3.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Structures,Unplanned,Secondary,x,x,0.0,2.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Track,Planned,Primary,x,x,0.0,9.0,2006-01-07,1.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Track,Planned,Secondary,x,x,0.0,3.0,2006-01-07,0.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Primary,x,x,0.0,21.0,2006-01-07,1.0
Sussex,x,x,Sussex,Route,Period,Temp_Speed_Restrictions,Track,Unplanned,Secondary,x,x,0.0,10.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Primary,x,x,0.0,2.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Earthworks,Planned,Secondary,x,x,0.0,1.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Primary,x,x,0.0,4.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Earthworks,Unplanned,Secondary,x,x,0.0,5.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Primary,x,x,0.0,2.0,2006-01-07,1.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Gcc,Unplanned,Secondary,x,x,0.0,1.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Primary,x,x,0.0,6.0,2006-01-07,0.0
Wessex,x,x,Wessex,Route,Period,Temp_Speed_Restrictions,Safety,Planned,Secondary,x,x,0.0,8.0,2006-01-07,0.0
